empleado,dept,betweenness,contactos,depts_alcanzados
160,36,0.0908,345,36
86,36,0.0393,216,31
5,25,0.0322,169,36
82,36,0.029,231,38
121,36,0.0289,232,39
107,36,0.0253,219,37
13,26,0.0245,178,34
377,7,0.0241,137,17
62,36,0.0234,214,36
64,25,0.0228,168,32
